planet_name,period,duration,depth,planet_radius,stellar_temp,stellar_radius,is_planet
Kepler-227 b,9.48803557,2.9575,615.8,2.26,5455.0,0.927,1
Kepler-227 c,54.4183827,4.507,874.8,2.83,5455.0,0.927,1
Kepler-664 b,2.525591777,1.6545,603.3,2.75,6031.0,1.046,1
Kepler-228 d,11.09432054,4.5945,1517.5,3.9,6046.0,0.972,1
Kepler-228 c,4.13443512,3.1402,686.0,2.77,6046.0,0.972,1
Kepler-228 b,2.56658897,2.429,226.5,1.59,6046.0,0.972,1
Kepler-229 c,16.06864674,3.5347,4914.3,5.76,5031.0,0.848,1
Kepler-1 b,2.470613377,1.74319,14231.0,13.04,5820.0,0.964,1
Kepler-2 b,2.204735417,3.88864,6674.7,16.1,6440.0,1.952,1
Kepler-8 b,3.522498429,3.19843,9145.7,14.59,6225.0,1.451,1
Kepler-466 c,3.709214104,2.6302,131.1,1.16,5833.0,1.022,1
Kepler-660 b,9.27358173,3.2875,1288.3,2.47,4856.0,0.696,1
Kepler-661 b,6.02930329,1.5821,1912.7,2.85,4537.0,0.672,1
Kepler-226 c,5.349553819,3.0278,831.0,2.55,5185.0,0.91,1
Kepler-226 b,3.94105221,2.5984,363.3,1.7,5185.0,0.91,1
Kepler-226 d,8.10904807,3.596,217.4,1.3,5185.0,0.91,1
Kepler-662 b,21.67699193,3.4555,857.2,2.95,4954.0,0.828,1
Kepler-663 b,4.99677968,2.1717,934.7,2.78,5339.0,0.847,1
Kepler-671 b,4.280963604,2.875,750.8,2.3,5644.0,0.831,1
Kepler-672 b,38.3775486,5.588,724.2,2.82,5481.0,1.036,1
Kepler-229 d,41.19725502,4.6297,2213.9,3.86,5031.0,0.848,1
Kepler-229 b,6.252962249,2.5819,1036.9,2.65,5031.0,0.848,1
Kepler-665 b,16.01308419,3.2554,1121.9,3.1,5015.0,0.826,1
Kepler-230 b,32.62876672,4.7971,1804.8,3.36,5586.0,0.798,1
Kepler-230 c,91.7732862,6.473,652.0,2.12,5586.0,0.798,1
Kepler-1976 b,4.959319244,2.22739,9802.0,12.21,5712.0,1.082,1
Kepler-666 b,4.49876511,3.7362,460.0,2.1,6075.0,0.969,1
Kepler-105 b,5.412203927,2.9472,601.6,2.94,5779.0,1.087,1
